Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38768,949.025,952.419,942.709,943.765,982157070
38769,943.109,960.088,933.37,960.017,1016677725
38770,960.103,967.607,957.663,959.947,1033943993
38771,959.126,960.668,946.881,958.722,918400941
38772,959.342,967.292,958.377,967.163,1000713028
38775,968.211,969.339,959.446,963.379,902547290
38776,962.524,964.948,947.866,964.726,870227494
38777,966.842,972.246,963.238,972.067,965844128
38778,972.15,972.15,950.38,953.369,1140765356
38779,951.932,956.952,941.801,954.457,943555166
38782,955.25,957.204,949.463,952.351,732304913
38783,951.638,951.638,927.501,928.576,862111672
38784,924.611,927.785,913.713,924.83,722665645
38785,923.324,926.562,917.492,920.13,611090880
38786,922.444,925.098,917.912,921.683,604909921
38789,921.234,928.828,920.046,928.518,562189126
38790,929.011,931.862,923.471,931.721,634260018
38791,931.272,942.709,929.997,942.689,799864278
38792,942.723,945.562,939.206,945.523,818227265
38793,944.952,946.532,938.903,943.725,894489302
38796,944.104,956.138,939.848,956.138,912038903
38797,957.893,963.991,955.01,959.927,1186527699
38798,959.516,972.137,957.383,972.137,1151416606
38799,972.715,982.615,971.181,980.841,1389792090
38800,982.456,983.836,972.851,974.269,1264798232
38803,974.563,984.302,969.67,984.152,1070685331
38804,987.534,994.981,986.345,994.52,1336006135
38805,995.686,1007.989,993.705,997.704,1578408542
38806,997.138,998.912,986.514,986.957,1332995528
38807,988.955,1000.532,985.414,1000.251,1328234254
38810,1001.322,1025.788,1001.322,1025.788,1749089099
38811,1029.106,1038.109,1024.166,1038.109,1867487248
38812,1039.778,1049.08,1037.596,1048.666,1866785850
38813,1052.354,1064.58,1045.897,1053.693,2117335449
38814,1056.29,1068.172,1051.786,1068.11,2128852204
38817,1071.185,1090.72,1069.731,1090.72,2197651429
38818,1097.273,1098.957,1081.69,1094.409,2259582098
38819,1095.075,1101.485,1089.129,1095.497,2014051546
